"DISTR.1" "BLACK" "NBHISP" "GRADE" "SLFHLTH" "SLFWGHT" "WORKHARD" "GOODQUAL" "PHYSFIT" "PROUD" "LIKESLF" "ACCEPTED" "FEELLOVD" "DIET" "DISTR.2"
"1099" 0.37 0 0 9 2 3 2 4 4 5 5 4 5 1 0.82
"1100" 0.16 0 0 8 1 4 4 2 3 2 2 3 2 0 0.29
"1101" 0.79 0 0 7 2 4 3 1 4 1 1 1 1 1 0.84
"1102" 0.05 0 0 7 1 4 1 1 2 1 1 2 1 0 0.17
"1103" 0.47 0 1 11 1 3 3 2 3 3 4 3 2 0 1.3
"1104" 0.26 0 0 11 1 3 2 1 2 1 2 2 1 0 0.05
"1105" 0.74 1 0 8 3 4 1 2 2 1 1 4 2 0 1.72
"1106" 0.47 0 0 9 3 4 1 2 2 2 3 2 2 0 0.3
"1107" 1.11 0 0 9 3 3 5 2 3 2 2 2 1 0 0.02
"1108" 0.58 0 0 9 1 2 1 1 1 2 1 1 2 0 0.56
"1109" 0.32 1 0 8 2 4 2 1 2 1 1 1 1 1 0.16
"1110" 0.89 0 0 8 2 4 2 3 3 3 4 1 2 0 0.92
"1111" 0.79 0 1 10 4 4 3 3 4 4 4 4 3 0 1.58
"1112" 0.53 0 0 10 2 3 3 1 1 1 2 1 1 1 0.86
"1113" 0.37 0 0 9 3 3 2 2 2 4 4 4 4 0 0.78
"1114" 0.11 0 1 10 1 3 2 2 3 2 3 2 3 0 0.23
"1115" 1.16 0 0 7 3 3 3 2 2 2 4 1 2 0 0.85
"1116" 0.53 0 0 10 3 4 1 2 3 2 4 2 2 1 0.68
"1117" 0.32 0 1 9 3 4 2 1 3 1 2 2 1 1 0.53
"1118" 0.68 0 1 11 3 4 2 2 3 1 3 2 2 0 1.21
"1119" 1.11 0 0 11 2 3 1 2 2 2 2 3 2 0 0.69
"1120" 1.84 0 0 7 3 4 5 2 4 2 3 4 3 0 0.58
"1121" 1.05 0 0 7 2 4 2 2 4 2 3 1 2 1 1.17
"1122" 0.05 1 0 8 2 3 2 1 1 1 1 1 1 0 0.11
"1123" 0.26 0 0 9 1 3 2 1 1 2 2 2 1 0 0.12
"1124" 0.32 0 0 8 1 2 2 2 1 1 1 2 1 0 0.31
"1125" 1.26 0 0 9 1 3 1 2 2 2 3 2 1 0 1.58
"1126" 0.42 0 0 11 1 3 1 2 2 1 3 2 2 0 0.55
"1127" 0.37 0 0 10 3 3 1 2 2 2 2 4 2 1 0.6
"1128" 0.53 0 1 8 2 2 3 2 1 2 1 4 1 0 0.13
"1129" 0.37 0 0 8 4 2 2 1 2 1 2 2 1 0 0.69
"1130" 0.53 0 0 9 2 3 2 3 2 2 2 4 2 1 0.61
"1131" 0.89 0 0 8 3 3 3 2 2 2 2 2 2 0 0.64
"1132" 0.05 1 0 10 2 3 1 1 1 1 1 1 1 0 0.34
"1133" 0.74 0 0 11 3 3 2 1 2 1 2 1 2 1 0.89
"1134" 0.42 0 0 8 1 1 2 1 1 1 1 1 1 0 0.57
"1135" 0.89 0 0 8 3 4 1 1 1 1 1 2 1 0 1.64
"1136" 0.16 0 0 9 2 2 3 1 2 1 3 1 1 0 0.21
"1137" 0.42 0 0 10 2 2 1 1 2 1 1 1 1 0 0.49
"1138" 0.47 0 0 8 4 3 5 3 4 2 3 5 2 0 1.07
"1139" 0.68 1 0 11 2 3 2 1 3 2 1 2 1 0 1.16
"1140" 0.63 0 0 9 3 4 2 2 3 2 3 2 2 0 1.15
"1141" 0.26 0 0 7 2 4 1 1 1 1 1 1 1 0 0.05
"1142" 1.11 0 0 9 1 2 2 2 2 2 2 3 2 0 1.01
"1143" 0.11 0 0 10 2 3 2 2 1 2 1 1 1 0 0.26
"1144" 0.74 0 1 11 2 4 2 1 1 1 1 3 1 0 0.36
"1145" 0.68 0 0 9 3 3 3 2 1 1 2 1 1 0 0.73
"1146" 0.53 0 1 11 3 4 1 2 2 2 3 2 2 1 0.88
"1147" 1.06 0 0 11 2 3 1 2 2 2 1 2 2 0 0.42
"1148" 0.79 0 0 8 2 5 1 2 2 2 4 4 2 1 1.05
"1149" 0.21 0 0 10 1 3 2 2 2 2 2 2 1 0 0.18
"1150" 0.05 0 0 9 1 2 2 1 1 1 1 1 1 0 0.02
"1151" 0.47 0 0 7 2 2 2 1 1 1 1 2 1 0 0.09
"1152" 0.47 0 0 8 1 3 3 2 1 1 2 2 1 0 0.7
"1153" 1 0 1 10 2 4 1 1 2 1 3 2 2 1 0.52
"1154" 0.79 0 0 9 2 2 2 2 2 2 1 1 2 0 1.13
"1155" 0.47 1 0 7 2 4 2 1 2 1 1 1 1 1 0.13
"1156" 0.47 0 0 9 2 3 3 1 2 1 1 1 1 0 0.65
"1157" 1.16 0 0 8 2 3 2 1 1 1 2 1 1 0 1.68
"1158" 0.11 0 0 11 1 2 1 2 1 2 2 1 2 0 0.26
"1159" 0.47 0 0 11 4 5 2 2 4 2 2 3 2 0 1.2
"1160" 0.84 0 1 9 2 3 2 2 3 2 3 2 2 0 0.6
"1161" 0.05 0 0 11 1 4 3 1 2 1 2 1 1 1 0.07
"1162" 0.89 1 0 7 1 1 1 2 2 1 2 3 2 0 0.62
"1163" 0.79 0 0 9 3 3 2 2 1 2 2 2 2 0 0.53
"1164" 1.26 0 0 11 2 2 2 2 2 2 2 2 2 0 1.06
"1165" 0.16 0 0 9 3 4 2 2 3 1 1 2 1 0 0.3
"1166" 0.95 0 0 10 3 3 2 3 3 3 2 4 3 0 1.22
"1167" 0.42 0 1 9 2 4 2 2 2 2 2 1 2 0 0.86
"1168" 0.42 0 0 7 3 2 2 2 3 2 2 1 2 0 0.1
"1169" 0.58 1 0 11 2 3 3 2 2 2 1 1 2 0 0.11
"1170" 0.11 1 0 10 1 3 2 2 2 2 2 3 3 0 0.81
"1171" 0.37 0 0 8 2 3 3 2 2 2 2 2 1 0 0.29
"1172" 0.89 0 0 10 2 3 2 2 2 2 2 2 1 0 1.18
"1173" 0.05 0 0 8 2 3 2 1 1 1 1 1 1 1 0.21
"1174" 0.74 0 0 10 3 4 2 2 3 2 4 2 2 0 1.18
"1175" 0.32 0 0 7 3 3 3 2 2 2 2 1 2 0 0.21
"1176" 0.16 0 0 11 2 5 2 2 4 2 4 4 2 1 0.52
"1177" 0.42 0 1 9 2 3 2 2 1 2 1 2 1 0 0.21
"1178" 0.53 0 0 11 1 2 1 2 2 2 3 2 2 0 0.36
"1179" 1.68 0 0 10 3 4 2 3 4 3 4 3 4 1 1.34
"1180" 0.63 0 0 10 2 3 1 2 2 2 2 2 2 0 0.39
"1181" 0.21 0 1 9 4 4 3 2 3 1 1 1 1 0 0.17
"1182" 0.68 0 1 11 2 3 3 1 2 1 1 2 1 0 0.36
"1183" 0.11 0 0 11 2 4 1 1 1 1 1 2 1 1 0.12
"1184" 0.26 1 0 7 3 3 2 1 2 1 1 1 1 0 0.25
"1185" 1.74 0 0 9 2 5 2 2 2 2 3 2 2 0 0.98
"1186" 0.42 0 0 11 3 4 3 2 2 1 2 2 1 0 0.48
"1187" 0.42 0 0 9 2 4 3 3 2 2 2 4 3 0 0.66
"1188" 0.63 0 1 7 2 1 2 2 2 1 1 2 2 0 0.8
"1189" 0.16 0 0 10 2 4 3 2 2 3 4 4 3 1 0.67
"1190" 0.11 0 0 10 1 3 2 2 1 2 1 2 2 0 0.49
"1191" 0.16 1 0 9 1 3 4 1 2 2 2 1 2 0 0.15
"1192" 0.05 0 0 11 1 3 1 1 1 1 2 1 1 0 0.16
"1193" 0.26 0 1 10 3 4 4 2 4 3 3 4 3 1 0.74
"1194" 0.79 0 1 11 3 5 2 2 3 2 3 3 2 0 0.38
"1195" 0.47 1 0 9 2 3 2 2 2 1 2 1 2 0 0.57
"1196" 0.74 0 0 10 4 3 2 3 4 2 3 2 2 0 0.4
"1197" 0.16 1 0 8 1 2 1 1 1 1 1 1 1 0 0.28
"1198" 1.26 0 0 8 3 4 2 4 4 5 3 4 4 0 0.88
"1199" 0.58 0 0 11 3 3 2 2 2 1 1 2 2 0 0.63
"1200" 1.58 1 0 11 2 3 2 2 3 2 2 2 2 0 1.43
"1201" 0.63 0 0 9 3 3 3 2 2 2 2 2 2 0 0.92
"1202" 0.47 0 1 10 1 4 1 2 3 2 2 5 3 0 1.13
"1203" 0.11 0 0 10 2 3 3 2 5 2 3 2 2 0 0.26
"1204" 0.68 0 0 11 3 3 2 2 1 2 3 2 2 0 0.63
"1205" 0.47 0 1 11 3 3 3 3 3 5 5 2 3 0 1.38
"1206" 1.32 1 0 10 3 4 2 2 3 2 3 5 3 0 1.2
"1207" 0.37 0 0 7 2 4 2 1 2 1 1 1 2 0 0.34
"1208" 1.21 1 0 11 3 4 1 1 2 2 1 2 2 1 1
"1209" 0.21 1 0 7 1 4 2 2 3 1 2 2 1 0 0.83
"1210" 0.47 0 0 11 3 5 1 2 4 2 3 3 2 0 0.52
"1211" 1.37 0 0 11 2 4 2 2 4 2 1 2 1 1 1.31
"1212" 0.47 1 0 9 3 4 1 2 2 1 2 2 1 0 0.25
"1213" 0.21 1 0 9 2 3 2 1 2 1 1 1 1 0 1.05
"1214" 0.79 0 1 11 2 4 1 2 2 1 2 1 1 0 1.53
"1215" 0.11 0 1 9 3 3 1 1 3 1 3 1 1 0 0.41
"1216" 0.32 0 0 11 2 4 2 1 1 1 1 2 1 0 0.24
"1217" 0.21 0 0 11 1 2 3 3 3 2 2 4 2 0 0.22
"1218" 0.74 1 0 11 3 3 2 2 2 2 2 3 2 0 0.01
"1219" 1.79 0 0 10 3 4 3 2 3 2 3 2 1 0 1.23
"1220" 0 0 0 8 2 3 2 1 1 1 1 1 1 0 0.13
"1221" 0.37 0 0 9 2 3 3 2 3 2 3 2 2 0 0.58
"1222" 0.32 0 0 8 1 3 2 1 3 1 2 2 2 0 0.33
"1223" 0.47 0 0 8 2 3 2 1 1 1 2 1 1 0 0.71
"1224" 0.47 1 0 9 3 2 3 2 4 2 1 3 2 0 1.04
"1225" 0.11 0 0 9 1 2 2 1 1 1 1 1 1 0 0.16
"1226" 0.47 0 0 11 1 3 1 1 2 1 2 2 1 0 0.15
"1227" 0.16 1 0 9 2 4 2 2 2 2 2 2 1 0 0.34
"1228" 1 0 0 8 1 2 1 2 1 1 1 2 1 0 1.31
"1229" 0.32 0 0 7 2 2 2 2 1 1 1 1 1 0 0.32
"1230" 0.05 0 0 7 4 5 3 1 3 1 1 2 1 0 0.27
"1231" 0.42 0 0 10 1 3 2 2 1 2 2 1 1 0 0.18
"1232" 1 0 0 11 2 3 2 2 3 2 1 4 3 0 1.2
"1233" 0.63 1 0 8 2 3 1 1 2 1 1 1 1 0 0.49
"1234" 0.11 0 0 9 2 3 2 2 2 2 2 2 2 0 0.25
"1235" 0.63 1 0 9 1 3 1 2 2 2 2 2 2 0 1.51
"1236" 0 0 0 8 2 3 2 1 1 1 1 1 1 0 0.06
"1237" 0.37 1 0 8 1 2 1 1 1 1 1 1 1 0 0.39
"1238" 0.89 0 0 10 2 3 4 2 2 2 2 2 2 0 1.08
"1239" 0.68 0 0 10 2 4 2 1 3 1 2 3 2 0 1.05
"1240" 1 0 0 8 2 4 3 3 2 3 4 3 2 0 1.14
"1241" 1.21 0 0 10 3 4 2 1 2 1 1 2 2 1 0.88
"1242" 0.32 0 0 10 2 3 3 1 3 2 2 1 1 0 0.36
"1243" 0.89 0 1 10 3 5 1 2 3 2 3 2 2 1 0.89
"1244" 1.63 0 0 9 3 2 2 2 2 2 3 2 2 0 1.86
"1245" 0.05 0 0 7 2 4 1 1 2 1 1 2 1 0 0.64
"1246" 0.26 0 0 7 2 4 2 2 2 1 2 1 1 1 0.32
"1247" 0.11 0 0 8 3 2 1 2 2 2 2 2 2 0 0.3
"1248" 1 1 0 10 1 3 1 2 2 2 2 3 2 0 0.79
"1249" 0.11 1 0 8 1 2 2 2 2 2 2 3 2 0 0.54
"1250" 0.89 1 0 11 2 3 3 1 3 1 1 2 1 0 0.61
"1251" 0.21 0 0 11 3 4 3 1 2 2 2 4 2 1 0.27
"1252" 1.11 1 0 8 2 4 4 2 2 3 2 3 2 0 1.45
"1253" 0.74 1 0 8 3 4 2 2 3 2 3 2 1 1 0.69
"1254" 0.11 0 0 9 3 3 1 3 2 3 2 2 2 0 0.24
"1255" 0.47 0 0 11 2 4 2 2 3 3 2 3 2 0 0.12
"1256" 0.53 0 0 10 1 3 2 2 3 2 3 2 2 0 0.56
"1257" 0.21 0 0 10 3 3 1 1 3 2 3 2 1 0 0.53
"1258" 0.26 0 0 11 1 3 2 1 2 1 1 1 1 0 0.2
"1259" 0.32 0 0 8 1 2 2 2 1 2 1 1 2 0 0.37
"1260" 0.58 1 0 8 3 3 2 1 3 1 1 2 1 0 0.28
"1261" 1.37 0 1 9 2 4 1 1 1 1 1 2 1 1 1.41
"1262" 1.37 0 1 10 2 4 1 2 2 2 2 2 2 1 0.66
"1263" 0.16 0 0 8 3 4 3 2 3 1 2 3 1 0 0.11
"1264" 0.53 0 0 9 4 3 3 3 5 3 2 5 4 0 2.28
"1265" 0.95 0 0 8 2 4 1 3 2 2 3 3 2 0 0.71
"1266" 0.79 0 0 7 1 4 3 5 3 4 4 4 4 1 2.11
"1267" 0.32 0 0 8 1 4 3 1 3 1 1 2 1 0 0.17
"1268" 1.05 0 0 7 3 4 1 2 3 2 2 3 2 0 1.36
"1269" 0.84 0 0 11 2 4 2 2 4 2 3 4 2 0 0.76
"1270" 0.63 0 0 10 1 3 3 1 3 2 2 2 1 0 0.87
"1271" 0.26 0 0 9 3 4 1 1 3 2 2 2 1 0 0.37
"1272" 0.53 0 0 8 3 4 3 3 4 2 4 5 3 1 0.41
"1273" 0.53 0 0 11 2 3 1 2 3 2 4 3 2 0 0.63
"1274" 0.47 0 1 10 2 3 2 2 2 2 2 2 1 0 0.65
"1275" 1.26 1 0 9 2 3 1 2 2 4 4 2 4 0 1.02
"1276" 0.32 0 0 9 3 3 3 3 4 3 4 4 3 0 0.14
"1277" 0.74 0 0 10 2 4 2 2 2 2 2 4 3 0 1.18
"1278" 0.74 1 0 8 2 3 2 2 2 1 1 1 1 0 0.34
"1279" 0.53 0 0 9 2 4 1 1 3 2 4 2 2 1 0.32
"1280" 0.42 0 1 11 3 4 1 2 4 2 3 3 2 0 0.18
"1281" 0.37 0 0 8 2 3 1 3 2 2 2 2 1 0 0.4
"1282" 0.42 0 0 7 2 4 2 3 2 3 3 4 3 0 0.49
"1283" 0.42 0 0 9 1 4 2 1 1 1 2 1 1 0 0.81
"1284" 1.05 0 0 9 1 4 1 2 1 2 2 2 2 1 1.18
"1285" 0.68 1 0 7 2 2 2 2 2 3 2 2 2 0 0.87
"1286" 0.79 0 0 11 3 3 2 2 2 2 3 1 1 0 1.87
"1287" 0.42 0 0 7 2 4 2 2 2 2 3 2 2 0 0.34
"1288" 1.79 0 0 9 3 5 2 2 1 1 2 5 2 0 1.52
"1289" 0.42 0 0 10 2 3 4 2 4 2 2 2 1 0 0.08
"1290" 0.37 0 0 8 3 3 1 2 3 1 2 2 2 0 0.89
"1291" 1.37 0 0 9 2 3 1 3 2 3 4 3 4 0 1.08
"1292" 1 0 1 7 4 5 2 1 4 3 3 3 3 0 0.74
"1293" 2 1 0 10 3 3 3 2 3 2 4 2 2 1 1.28
"1294" 0.32 0 0 7 4 3 1 3 2 3 2 2 2 1 0.39
"1295" 0.79 0 1 10 3 3 2 2 3 3 4 4 3 0 1.25
"1296" 0.16 1 0 11 3 4 2 1 4 2 4 4 2 0 1
"1297" 0.16 0 0 11 3 4 2 2 2 1 2 2 1 0 0.55
"1298" 0.37 0 0 8 1 4 2 1 2 2 3 2 2 1 0.33
"1299" 0.53 0 0 11 2 4 3 2 2 2 3 2 2 1 0.29
"1300" 0.26 1 0 11 1 3 5 1 1 1 1 1 1 0 0.01
"1301" 1.05 1 0 7 3 3 2 2 3 2 1 2 2 0 1.39
"1302" 1.05 0 1 9 3 3 2 2 3 2 2 2 1 0 0.43
"1303" 1.47 0 1 11 2 4 4 2 4 2 2 3 3 0 1.25
"1304" 0.47 0 0 9 2 3 1 1 2 1 4 2 1 0 0.43
"1305" 0.95 0 0 11 2 5 3 2 3 1 2 4 2 0 1.58
"1306" 1.26 0 1 9 1 3 2 2 1 1 2 1 2 0 1.23
"1307" 0.58 0 0 11 3 4 2 1 2 2 3 2 2 0 0.21
"1308" 1.32 1 0 8 2 2 3 2 2 2 2 2 3 0 0.84
"1309" 0.95 0 0 10 3 3 1 2 2 2 3 2 2 0 0.45
"1310" 1 0 1 11 1 4 1 2 2 2 2 4 3 1 0.35
"1311" 0.68 0 1 11 2 3 2 2 2 2 1 2 2 0 0.5
"1312" 0.47 0 0 8 2 3 2 1 2 2 1 2 2 1 0.09
"1313" 0.74 0 0 9 4 3 2 2 3 1 2 2 2 0 0.86
"1314" 0.26 0 0 9 2 3 2 1 2 1 2 2 1 1 0.32
"1315" 0.26 1 0 9 1 3 2 1 1 1 1 2 1 0 0.91
"1316" 0.79 1 0 9 3 3 2 2 2 2 3 2 2 0 1.02
"1317" 0.63 1 0 7 2 4 2 1 1 1 1 1 1 0 0.17
"1318" 0.11 0 0 10 2 4 1 2 2 1 2 1 1 1 0.17
"1319" 0.42 0 0 10 3 3 2 2 4 2 2 2 2 0 1.23
"1320" 0.37 1 0 11 2 4 2 1 4 1 1 2 1 0 0.15
"1321" 0.47 0 0 11 3 3 2 3 3 3 3 2 2 0 0.82
"1322" 1.42 1 0 11 1 4 2 2 2 2 2 3 3 0 0.81
"1323" 0.95 0 0 10 3 4 2 3 4 3 4 4 4 0 1.52
"1324" 0.63 0 0 9 2 3 1 3 2 2 2 2 2 0 0.27
"1325" 0.68 0 0 8 1 5 2 2 3 2 4 4 2 0 0.86
"1326" 1 0 0 11 4 4 1 2 2 2 2 2 2 1 0.72
"1327" 0.53 0 0 9 2 4 1 2 2 2 4 2 2 1 0.76
"1328" 0.53 0 0 11 1 3 2 2 2 1 1 2 2 0 1.13
"1329" 0.32 1 0 11 3 3 2 2 3 1 2 2 1 0 0.52
"1330" 1.61 1 0 7 1 3 2 2 2 2 4 2 2 0 1.48
"1331" 1 0 1 8 3 4 2 1 1 1 1 1 1 0 0.62
"1332" 0.21 1 0 10 4 4 4 2 3 2 2 2 1 0 0.06
"1333" 1 1 0 8 2 4 3 2 3 3 2 4 2 1 1.23
"1334" 0.53 0 0 7 3 4 3 2 3 3 3 3 2 0 0.69
"1335" 0.95 0 1 10 3 4 4 3 4 3 4 4 4 1 0.6
"1336" 0.74 0 1 8 2 4 1 2 2 2 2 2 2 0 0.37
"1337" 0.16 0 0 8 3 4 2 2 3 2 2 3 2 0 0.52
"1338" 0.05 0 0 7 1 3 1 2 2 1 1 1 1 0 0.13
"1339" 0.47 0 0 11 2 4 2 1 2 1 2 3 2 0 0.47
"1340" 0.95 0 0 7 4 3 2 2 2 2 3 2 2 1 0.31
"1341" 0.42 0 0 11 2 3 2 1 1 1 2 1 1 0 0.22
"1342" 0.63 0 0 11 3 3 3 3 3 3 1 2 2 0 0.74
"1343" 0.42 0 0 10 1 4 2 2 3 2 3 2 2 0 0.95
"1344" 1.05 0 0 11 2 4 2 1 2 1 2 2 1 0 0.86
"1345" 0.89 0 0 10 3 4 3 2 4 3 4 4 3 1 0.62
"1346" 1.74 0 0 11 3 4 2 2 2 2 4 3 3 0 0.83
"1347" 0.84 1 0 10 1 3 2 2 2 2 1 2 2 0 0.4
"1348" 0.32 0 0 10 2 3 2 2 2 2 3 3 2 0 1.17
"1349" 0.53 0 0 10 2 4 4 3 3 2 3 2 2 0 0.78
"1350" 1.16 0 0 9 2 5 2 3 4 2 4 4 2 0 1.13
"1351" 1.28 1 0 10 2 3 3 3 5 3 4 4 2 0 0.79
"1352" 0.26 0 1 9 1 3 3 3 2 3 3 2 3 0 1.14
"1353" 0.26 0 1 7 1 4 2 1 2 1 2 1 1 0 0.02
"1354" 0.42 0 0 10 3 4 2 2 3 2 3 5 2 1 0
"1355" 1.53 0 0 8 4 4 3 3 4 2 5 2 1 0 0.68
"1356" 0.26 0 0 7 2 3 2 1 1 1 2 1 1 0 0.1
"1357" 0.21 0 0 7 3 4 2 1 3 2 2 1 1 0 0.62
"1358" 0.26 0 0 8 3 3 2 2 2 2 2 3 1 0 0.47
"1359" 1.26 1 0 9 4 5 3 2 3 1 2 2 2 0 0.2
"1360" 0.47 1 0 8 1 3 2 2 1 2 2 2 2 0 0.84
"1361" 0.21 1 0 11 2 3 2 2 1 1 1 1 1 0 0.24
"1362" 0.47 0 0 7 1 3 1 1 1 1 1 2 2 0 1.72
"1363" 0.42 0 0 11 1 3 2 2 2 2 2 2 2 0 0.11
"1364" 0.05 0 0 10 1 3 2 1 1 1 1 1 1 0 0.04
"1365" 0.47 0 0 9 4 3 3 3 3 5 4 4 4 0 2.29
"1366" 0.79 0 1 10 2 2 3 3 2 2 3 1 2 0 1.13
"1367" 0.26 1 0 8 1 2 3 2 1 1 1 1 1 0 0.36
"1368" 0.47 0 0 7 1 1 2 2 2 2 1 1 2 0 0.44
"1369" 0.26 0 1 10 2 4 2 2 2 1 2 1 1 1 0.17
"1370" 0.84 0 0 7 3 4 2 2 1 2 3 2 1 0 0.23
"1371" 1.11 0 0 10 2 4 3 2 2 2 2 3 2 0 1.24
"1372" 0.79 0 0 11 2 4 1 1 2 2 2 2 2 0 0.96
"1373" 0.68 1 0 11 3 3 2 2 5 3 3 3 2 0 0.99
"1374" 0.11 0 1 11 2 4 2 1 1 1 1 1 1 0 0.34
"1375" 0.84 0 1 11 2 3 2 2 2 2 3 2 1 0 0.71
"1376" 0.21 1 0 11 2 2 2 2 2 2 1 2 2 0 0.4
"1377" 0.63 1 0 10 3 1 2 3 2 3 3 3 3 0 0.73
"1378" 0.53 0 0 7 3 3 2 2 3 2 1 4 2 0 0.7
"1379" 0.21 0 0 8 2 3 2 2 4 2 2 2 1 0 0.32
"1380" 0.68 0 0 11 2 4 2 2 2 2 3 4 3 1 0.46
"1381" 0.89 0 0 8 3 4 2 2 4 3 4 3 2 1 1.13
"1382" 0.58 0 0 11 2 3 2 2 2 2 3 2 2 1 0.78
"1383" 0.53 0 0 9 2 5 2 2 2 2 4 3 2 1 0.86
"1384" 0.95 0 0 10 5 4 2 3 4 4 4 4 3 1 1.02
"1385" 0 0 0 8 1 3 1 2 1 1 1 1 1 0 0.15
"1386" 0.53 0 0 7 2 4 4 2 2 2 4 3 2 1 0.48
"1387" 0.47 0 0 7 1 4 2 2 2 1 2 2 2 1 0.55
"1388" 2.37 0 1 9 4 3 5 3 4 3 4 4 2 0 0.75
"1389" 0.53 0 0 9 3 3 1 3 3 4 3 2 2 0 0.52
"1390" 1.32 0 0 7 4 2 4 2 1 2 2 2 2 0 0.69
"1391" 1.16 0 1 7 1 3 3 2 1 2 2 2 3 1 1.21
"1392" 1.21 0 0 8 1 3 2 3 2 2 2 4 2 0 0.75
"1393" 0.47 1 0 9 3 3 2 2 2 1 2 1 1 1 0.63
"1394" 0.16 1 0 10 2 3 2 1 2 1 1 1 1 0 0.35
"1395" 1.16 0 1 10 3 3 2 2 3 2 3 2 3 0 1.03
"1396" 1.42 0 1 11 3 3 2 2 2 1 1 2 3 1 1.2
"1397" 1.68 1 0 10 1 3 2 1 3 2 4 2 4 0 1.09
"1398" 1.95 1 0 10 3 4 1 1 4 2 3 2 2 1 1.41
"1399" 1.16 0 1 9 2 3 2 1 4 1 2 2 2 0 1.49
"1400" 0.16 0 0 8 2 3 2 2 3 2 2 2 1 0 0.53
"1401" 0.05 0 0 10 1 2 2 3 1 2 2 2 2 0 0.33
"1402" 0.11 0 1 11 1 4 4 2 1 2 2 1 1 1 1.6
"1403" 0.47 0 0 10 3 5 3 3 3 3 4 4 3 1 0.41
"1404" 0.16 0 0 11 1 3 2 2 2 1 2 2 2 0 0.2
"1405" 0.42 0 0 7 2 2 1 2 1 1 2 1 1 0 0.19
"1406" 0.84 0 0 10 2 4 2 1 2 1 2 2 1 0 1.01
"1407" 1.42 0 0 10 2 4 2 1 2 2 3 2 2 1 0.87
"1408" 0.63 0 1 10 2 3 1 2 2 1 2 2 2 0 0.38
"1409" 1.21 0 1 10 3 4 2 2 3 2 2 3 1 0 0.54
"1410" 0.74 0 1 10 3 4 2 4 4 4 5 5 5 1 1.3
"1411" 0.21 0 0 10 2 3 1 2 3 2 2 2 2 0 0.08
"1412" 1.16 1 0 7 2 4 1 2 4 2 4 4 3 1 1.25
"1413" 1 0 0 11 4 3 3 2 3 2 3 2 2 1 1.19
"1414" 1.47 0 0 9 2 3 2 1 2 2 3 2 2 0 0.61
"1415" 0.16 0 0 7 2 2 2 2 1 2 3 2 1 0 0.2
"1416" 1.05 0 0 8 3 3 2 2 2 2 1 2 2 0 0.66
"1417" 0.32 0 0 9 2 5 2 2 4 2 2 3 2 0 0.29
"1418" 0.05 0 0 11 2 5 1 1 2 1 2 1 1 1 0.29
"1419" 0 0 1 11 1 3 2 2 1 1 1 1 1 0 0.1
"1420" 0.21 1 0 10 4 4 1 1 3 1 2 1 1 0 0.81
"1421" 1 1 0 8 3 3 2 2 2 2 3 3 2 0 0.59
"1422" 0.16 0 0 11 1 3 1 2 2 2 2 3 2 0 0.32
"1423" 0.42 0 0 9 1 3 2 2 1 2 2 2 2 0 0.49
"1424" 0.42 0 0 10 3 4 2 3 3 3 5 3 4 1 0.84
"1425" 1.21 0 1 8 3 2 2 2 3 1 2 2 1 0 0.84
"1426" 0.74 1 0 11 2 3 2 1 2 1 1 1 1 0 0.42
"1427" 0.95 0 0 10 3 4 2 4 5 4 4 5 2 0 0.98
"1428" 0.37 1 0 11 1 3 3 2 2 2 2 2 2 0 0.38
"1429" 1.42 0 0 7 2 3 3 2 2 1 2 1 1 0 0.05
"1430" 0.26 0 0 7 1 3 2 1 2 1 2 1 1 0 0.18
"1431" 0.79 0 0 11 2 4 2 2 3 2 2 4 3 0 0.28
"1432" 0.42 1 0 10 1 3 3 2 2 2 2 2 1 0 0.48
"1433" 1.42 0 0 9 3 5 2 3 4 3 3 3 3 1 0.47
"1434" 0.63 0 0 9 2 3 3 2 1 2 2 1 1 0 0.92
"1435" 1 1 0 7 2 3 2 2 4 2 3 1 1 0 0.39
"1436" 0.26 0 1 9 2 3 2 2 4 2 2 2 2 1 0.39
"1437" 1.42 0 0 9 2 3 2 1 2 1 1 2 1 0 0.4
"1438" 0.89 0 0 8 1 3 3 3 4 2 3 4 2 0 0.9
"1439" 0.74 1 0 11 2 3 1 2 2 1 1 2 2 0 0.86
"1440" 0.32 0 0 8 3 4 2 2 3 2 4 2 2 1 0.16
"1441" 0.42 0 0 7 1 3 2 1 1 1 1 2 1 0 0.46
"1442" 0.68 1 0 7 2 4 2 2 3 2 2 2 2 0 0.75
"1443" 0.47 0 0 8 2 4 2 2 4 2 4 2 2 1 0.28
"1444" 0.53 0 0 9 4 4 2 3 4 4 4 4 5 1 1.05
"1445" 0.37 0 0 9 1 4 1 2 2 2 3 3 2 0 0.14
"1446" 0.74 0 0 9 2 3 2 2 1 2 3 1 2 1 1.39
"1447" 0.74 1 0 10 2 3 2 2 2 1 2 2 2 0 1.28
"1448" 0.68 0 0 8 2 3 2 1 1 1 1 1 1 0 0.48
"1449" 0.21 1 0 10 3 4 2 2 2 2 2 2 2 0 0.53
"1450" 0.79 0 0 9 3 4 2 2 4 2 3 4 2 0 0.66
"1451" 0.32 1 0 7 3 3 3 2 3 2 2 3 2 0 0.41
"1452" 0.11 0 0 11 1 3 1 1 1 1 1 1 1 0 0.04
"1453" 0.53 0 0 8 3 4 2 2 2 2 3 2 1 0 0.96
"1454" 0.84 0 0 7 3 2 2 4 3 4 4 3 4 0 2.06
"1455" 1.21 1 0 8 1 4 1 1 2 1 1 1 2 0 0.96
